Issue Type,Issue key,Issue id,Summary,Project name,Created,Labels,Labels,Description,Actual Result,Expected Result,Preconditions,Priority,Severity,Sprint,Status,Parent summary
Bug,DEPI-38,10431,"Contact Form Fails to Submit â€” No Response on Clicking ""Send message""",DEPI-Automated-Testing-Final-Project,5/9/2025 18:57,,,"*Steps to Reproduce*:

# Open the contact form
# Fill in all required fields with valid data
# Click the ""Send message"" button",,,,Medium (P2),Major / High,SCRUM Sprint 1,,
Bug,DEPI-35,10396,Tracking orders page doesn't work,DEPI-Automated-Testing-Final-Project,5/8/2025 17:43,,,Tracking orders page doesnâ€™t work,,,,Medium (P2),Major / High,SCRUM Sprint 1,,
Bug,DEPI-34,10365,Unable to Complete Checkout â€“ No Payment Methods Available,DEPI-Automated-Testing-Final-Project,5/3/2025 11:57,Checkout,,"When attempting to complete a purchase using an existing billing address, the system fails to display any available payment methods. As a result, the user cannot proceed with the order. A warning message is shown, stating:

{quote}â€œâš  Warning: No Payment options are available. Please contact us for assistance!â€{quote}

This issue prevents the user from completing the checkout process entirely.",,,,Critical (P0),Critical,,,Testing My Profile Features
Bug,DEPI-32,10339,"When clicking ""Apple"" under the ""Laptops"" category in the Mega Menu, the dropdown displays unrelated items.",DEPI-Automated-Testing-Final-Project,4/4/2025 7:10,,,"When clicking ""Apple"" under the ""Laptops"" category in the Mega Menu, the dropdown displays unrelated items (e.g., watches) instead of Apple laptops.

Steps to Reproduce
1-Go to â€œâ€œ[https://ecommerce-playground.lambdatest.io/index.php?route=common/home|https://ecommerce-playground.lambdatest.io/index.php?route=common/home|smart-link]  

2-Hover over â€œMega menuâ€œ in the navigation bar

3-Go to the down left and under â€œlaptopâ€œ click on Apple

Expected Result
Clicking ""Apple"" under ""Laptops"" should display Apple products

Actual Result

IncorrectÂ ItemsÂ displayed",,,,"High (P1)	",Major / High,SCRUM Sprint 2,,
Bug,DEPI-31,10336,Missing content in the homepage,DEPI-Automated-Testing-Final-Project,4/3/2025 20:35,Navigation,,"unexpected large white space on the homepage that appears to be a layout or content rendering issue.


*Steps to reproduce*
1-Go to â€œ[https://ecommerce-playground.lambdatest.io/index.php?route=common/home|https://ecommerce-playground.lambdatest.io/index.php?route=common/home|smart-link] â€œ
2-Scroll down 
3-observe the white layout space

*Expected Results*
Content should be displayed in the white area
*Actual Results*

Large white space appears due to failed content loading",,,,"High (P1)	",Critical,SCRUM Sprint 2,,
Bug,DEPI-30,10335,"The ""TOP PRODUCTS"" section in the homepage is displaying the same product (""IMac"" priced at $170.00) four times consecutively",DEPI-Automated-Testing-Final-Project,4/3/2025 20:16,Navigation,,"
*Steps to Reproduce*

1- Go to â€œ[https://ecommerce-playground.lambdatest.io/index.php?route=common/home|https://ecommerce-playground.lambdatest.io/index.php?route=common/home|smart-link] â€œ

2-Scroll down until you see â€œTop Productsâ€œ section 

*Expected Behavior*
Top Products section should display different items 

*Actual Behavior*

The same iMac product is displayed four times in identical format.",,,,Medium (P2),Major / High,SCRUM Sprint 2,,
Bug,DEPI-29,10334,Mega menu function doesn't work. ,DEPI-Automated-Testing-Final-Project,4/3/2025 18:05,,,"The mega menu is not functioning as expected, it doesnâ€™t provide correct product.",,,,Medium (P2),Major / High,SCRUM Sprint 2,,
bug,DEPI-28,10333,"Incorrect Result for ""Color"" Option",DEPI-Automated-Testing-Final-Project,4/3/2025 17:56,,,"When the user selects ""Shop by Category"" and chooses a color, the website provides incorrect results, and some colors cannot be selected.",,,,Medium (P2),Major / High,SCRUM Sprint 2,,
Epic,DEPI-22,10298,Header Navigation Menu,DEPI-Automated-Testing-Final-Project,4/2/2025 9:45,Navigation,,"This Epic covers the implementation, styling, and functionality of the main navigation links in the header.",,,,,,,,
Epic,DEPI-20,10265,Implement and Test Advanced Filtering Functionality,DEPI-Automated-Testing-Final-Project,3/19/2025 14:51,Filteration,,"As a user, I want to filter search results effectively so that I can quickly find relevant products or content based on specific criteria such as categories, price range, ratings, and other attributes.

*Acceptance Criteria:*

# Users should be able to search for items using keywords.
# Users should be able to categorize search results based on predefined categories.
# Users should be able to apply filters such as price range, ratings, and availability.
# Filters should dynamically update search results in real-time or upon submission.
# Removing applied filters should update results accordingly.
# If no results match the selected filters, an appropriate message should be displayed.

*Linked Test Cases:*

* *Search Functionality* â€“ Ensures users can search for products or content.
* *Categorization of Search Results* â€“ Validates that search results can be sorted by predefined categories.
* *Filters Functionality* â€“ Tests the application and removal of filters to refine search results.",,,,,,,,
